70.11469.82
Time_days      V    Verr    R    Rerr
  383.59     18.728    0.075   17.993    0.063
  398.76     18.776    0.101   18.010    0.083
  419.70     18.814    0.086   18.066    0.069
  436.62     18.980    0.128   18.049    0.074
  471.60     18.919    0.091   18.098    0.064
  494.53    -99.000  -99.000   18.029    0.101
  501.49     18.793    0.101   18.047    0.078
  563.83     18.757    0.095   18.090    0.081
  573.78     18.852    0.125   18.134    0.094
  593.78     18.722    0.091   17.998    0.071
  601.68     18.779    0.082   18.016    0.058
  633.67     18.630    0.064   17.949    0.051
  646.70     18.635    0.086   17.903    0.066
  659.69     18.685    0.069   17.919    0.052
  663.72     18.707    0.074   17.907    0.054
  686.70     18.700    0.070   17.983    0.059
  692.58     18.757    0.086   18.006    0.063
  767.65     18.784    0.091   18.052    0.074
  776.72     18.817    0.093   18.056    0.071
  803.61     18.778    0.079   17.969    0.058
  826.63     18.709    0.095   17.927    0.068
  838.59     18.753    0.136   18.026    0.098
  907.74     18.755    0.139   18.009    0.087
  914.76    -99.000  -99.000   17.812    0.115
  923.76     18.677    0.080   17.972    0.062
  930.74     18.353    0.094   17.803    0.077
  936.80     18.561    0.073   17.911    0.060
  943.72     18.606    0.078   17.908    0.062
  949.79     18.494    0.073   17.820    0.060
  956.73     18.485    0.050   17.879    0.044
  968.77     18.459    0.065   17.793    0.056
  984.70     18.501    0.084   17.794    0.064
  993.74     18.332    0.110   17.645    0.069
 1007.71     18.587    0.065   17.844    0.051
 1016.73     18.676    0.047   17.940    0.038
 1026.68     18.648    0.052   17.947    0.044
 1076.61     18.648    0.053  -99.000  -99.000
 1094.57     18.583    0.050   17.878    0.042
 1106.61     18.715    0.069   17.894    0.051
 1117.64     18.483    0.061   17.761    0.050
 1123.76     18.654    0.064  -99.000  -99.000
 1129.60     18.359    0.060   17.790    0.053
 1141.56     18.575    0.070   17.828    0.050
 1165.55     18.689    0.124   17.919    0.088
 1174.65     18.905    0.107   17.990    0.064
 1186.60     18.852    0.095   18.013    0.064
 1206.56     18.689    0.064   17.904    0.049
 1306.65     17.934    0.072   17.425    0.071
 1314.67     18.260    0.127   17.604    0.080
 1318.72     18.325    0.070   17.617    0.046
 1320.62     18.239    0.108   17.698    0.082
 1324.66     18.288    0.057   17.628    0.051
 1330.78     18.303    0.044   17.665    0.037
 1349.71     18.281    0.059   17.629    0.045
 1359.69     18.239    0.040   17.650    0.037
 1364.72     18.288    0.051   17.614    0.041
 1382.69     18.359    0.049   17.648    0.039
 1465.71     18.345    0.051   17.672    0.042
 1486.69     18.398    0.048   17.654    0.045
 1570.49     18.554    0.063   17.758    0.048
 1574.50     18.446    0.077   17.644    0.053
 1594.52     18.366    0.055   17.655    0.050
 1681.81     18.260    0.093   17.618    0.080
 1727.74     18.173    0.065   17.530    0.057
 1746.76     18.309    0.049   17.602    0.044
 1747.64     18.334    0.036   17.682    0.031
 1756.66     18.366    0.047   17.699    0.037
 1773.64     18.262    0.049   17.567    0.042
 1782.64     18.275    0.050   17.608    0.047
 1789.62     18.240    0.064   17.598    0.058
 1805.71     18.323    0.052   17.634    0.047
 1814.70     18.261    0.048   17.572    0.045
 1828.58     18.330    0.046   17.656    0.043
 1838.70     18.351    0.052   17.684    0.051
 1855.66     18.446    0.046   17.673    0.036
 1860.50     18.402    0.043   17.690    0.036
 1863.56     18.424    0.046   17.684    0.039
 1871.72     18.260    0.065   17.528    0.047
